公司,證券代碼,證期會代碼,年月日,TSE 產業別,TEJ產業_名稱,TEJ產業_代碼,TEJ產業指數,收盤價(元),季別,每股盈餘,ROE－綜合損益,ROA－綜合損益,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性FA成長率,總資產報酬成長率
1201 味全,1201,1201,2021/12/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,21.44,4,0.24,2.01,0.76,5.38,3.31,3.31,-10.78,26.26,-42.9,-42.9,-29.41,-0.4,2.86,-3.65,-0.53
1201 味全,1201,1201,2021/9/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,21.1,3,0.4,2.79,1,3.58,0.46,0.46,-17.55,-9.9,-5.78,-5.78,-18.01,2.48,5.24,-4.08,-0.08
1201 味全,1201,1201,2021/6/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,20.1,2,0.2,1.04,0.37,7.03,9.41,9.41,48.99,63.59,19.75,19.75,2.26,2.79,6.93,-3.43,0.04
1201 味全,1201,1201,2021/3/31,2,飲料乳品,M12C,TEJN02  傳產- 食品,20.24,1,0.17,0.97,0.36,10,14.43,14.43,114.03,3197,226.77,226.77,1.81,-3.37,6.03,-4.86,0.28
1203 味王,1203,1203,2023/6/30,2,其他食品,M12Z,TEJN02  傳產- 食品,45.85,2,0.38,1.85,1.21,6.59,4.55,4.55,2.81,30.83,54.18,54.18,-18.3,1.77,3.95,2.2,0.46
1203 味王,1203,1203,2023/3/31,2,其他食品,M12Z,TEJN02  傳產- 食品,38.75,1,0.33,2.21,1.46,2.77,-21.61,-21.61,-41.7,-46.21,-47.32,-47.32,-47.32,3.2,1.98,7.62,-1.1
1203 味王,1203,1203,2022/12/30,2,其他食品,M12Z,TEJN02  傳產- 食品,34.9,4,0.37,4,2.61,23.05,1.83,1.83,-3.74,13.73,9.86,9.86,-7.3,4.36,5.19,5.67,0.19
1203 味王,1203,1203,2022/9/30,2,其他食品,M12Z,TEJN02  傳產- 食品,30.95,3,1.5,6.84,4.37,6.21,-5.57,-5.57,-9.58,81.88,141.95,141.95,45.28,4.06,3.36,-4.27,2.59
1203 味王,1203,1203,2022/6/30,2,其他食品,M12Z,TEJN02  傳產- 食品,32.49,2,0.17,0.18,0.11,7.48,-12.19,-12.19,-17.79,-25.3,-51.28,-51.28,-7.15,3.37,-3.08,-3.11,-0.9
1203 味王,1203,1203,2022/3/31,2,其他食品,M12Z,TEJN02  傳產- 食品,32.39,1,0.59,5.3,3.51,2.88,1.05,1.05,11.83,8.92,8.31,8.31,10.87,1.56,1.97,-1.69,0.18
1203 味王,1203,1203,2021/12/30,2,其他食品,M12Z,TEJN02  傳產- 食品,31.47,4,0.36,2.25,1.47,-8.65,-11.43,-11.43,-20.97,-9.22,-1.4,-1.4,6.01,2.69,-0.97,-2.71,-0.09
1203 味王,1203,1203,2021/9/30,2,其他食品,M12Z,TEJN02  傳產- 食品,31.33,3,0.44,1.89,1.25,-2.16,-13.46,-13.46,-21.82,-12.46,-15.78,-15.78,-15.27,0.46,-0.14,-5.14,-0.37
1203 味王,1203,1203,2021/6/30,2,其他食品,M12Z,TEJN02  傳產- 食品,32.31,2,0.53,1.26,0.84,2.51,2.41,2.41,13.05,15.85,25.14,25.14,30.06,-0.18,3.93,-6.54,0.3
1203 味王,1203,1203,2021/3/31,2,其他食品,M12Z,TEJN02  傳產- 食品,35.73,1,0.55,2.38,1.6,-5.85,-5.58,-5.58,-7.57,0.52,1.5,1.5,-4.14,1.12,2.07,-8.24,-0.02
1210 大成,1210,1210,2023/6/30,2,油脂飼料,M12B,TEJN02  傳產- 食品,51.78,2,1.27,3.06,1.49,1.9,34.28,34.28,112.86,105.29,91.85,91.85,272.46,-0.71,5.56,15.92,1.32
1210 大成,1210,1210,2023/3/31,2,油脂飼料,M12B,TEJN02  傳產- 食品,49.64,1,0.9,3.82,1.83,5.87,24.57,24.57,66.37,28.59,41.47,41.47,309.87,2.36,8.62,12.48,0.6
1210 大成,1210,1210,2022/12/30,2,油脂飼料,M12B,TEJN02  傳產- 食品,44.25,4,0.71,0.54,0.25,18.8,14.75,14.75,28.57,13.55,34.68,34.68,-4.82,9.89,4.17,12.29,0.5
1210 大成,1210,1210,2022/9/30,2,油脂飼料,M12B,TEJN02  傳產- 食品,43.23,3,0.62,3.36,1.54,15.89,18.53,18.53,137.59,96.44,106.65,106.65,-97.68,14.45,6.13,13.58,0.77
1210 大成,1210,1210,2022/6/30,2,油脂飼料,M12B,TEJN02  傳產- 食品,43.99,2,0.64,1.36,0.62,-0.12,13.07,13.07,68.29,53.69,73.91,73.91,-32.79,13.18,3.99,7.82,0.6
1210 大成,1210,1210,2022/3/31,2,油脂飼料,M12B,TEJN02  傳產- 食品,48.68,1,0.69,4.18,2,12.96,-17.62,-17.62,-26.2,-27.22,-31.53,-31.53,-69.28,9.39,4.34,8.43,-0.43
1210 大成,1210,1210,2021/12/30,2,油脂飼料,M12B,TEJN02  傳產- 食品,48.05,4,0.48,2.57,1.28,9.66,-17.83,-17.83,-25.03,-41.66,-44.83,-44.83,-46.02,9.75,-0.53,5.93,-0.86
1210 大成,1210,1210,2021/9/30,2,油脂飼料,M12B,TEJN02  傳產- 食品,49.4,3,0.37,0.7,0.35,25.31,-27.7,-27.7,-76.66,-70.83,-72.31,-72.31,-64.19,4.87,3.58,4,-1.65
1210 大成,1210,1210,2021/6/30,2,油脂飼料,M12B,TEJN02  傳產- 食品,49.97,2,0.51,2.25,1.1,41.59,-14.57,-14.57,-59.01,-54.56,-59.22,-59.22,-51.34,11.1,9.68,5.61,-1.06
1210 大成,1210,1210,2021/3/31,2,油脂飼料,M12B,TEJN02  傳產- 食品,45.4,1,1.01,3.12,1.6,23.49,15.53,15.53,5.7,26.15,24.56,24.56,15.59,12.8,16.41,6.96,0.33
1213 大飲,1213,1213,2023/6/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,6.45,2,-0.72,-12.43,-4.04,-70.55,-501.21,-501.21,-124.14,-114.49,-130.28,-130.28,-130.28,-9.24,-22.97,,-2.18
1213 大飲,1213,1213,2023/3/31,2,飲料乳品,M12C,TEJN02  傳產- 食品,7,1,-0.34,-5.4,-1.84,-12.43,51.05,51.05,39.02,32.24,28.14,28.14,28.14,-7.79,-16.45,-13.78,0.78
1213 大飲,1213,1213,2022/12/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,7.13,4,-0.26,-3.91,-1.38,1.2,91.27,91.27,22.69,14.65,14.34,14.34,14.34,-5.74,-17.17,-12.26,0.31
1213 大飲,1213,1213,2022/9/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,7.1,3,-0.3,-4.33,-1.58,-18.88,98.99,98.99,14.87,57.74,58.38,58.38,57.96,-9.55,-17.06,-13.28,2.18
1213 大飲,1213,1213,2022/6/30,2,飲料乳品,M12C,TEJN02  傳產- 食品,7.53,2,-0.31,-4.33,-1.6,-9.68,-2021.23,-2021.23,27.09,25.95,24.31,24.31,20.44,-12.57,-20.41,-13.29,0.48
