m_date,company_id,revenue_release_date,revenue_m,revenue_m_lastyear, revenue_vs_lastyear_ratio, revenue_mom_ratio, revenue_growth_month,cumulative_revenue,cumulative_revenue_lastyear, cumulative_revenue_vs_lastyear_ratio
2023/10/31,6189,2023/11/10,2547022 ,1975146 ,28.95 ,-15.87 ,-1 ,24571568 ,24126421 ,1.85 
2023/10/31,6190,2023/11/7,503053 ,600901 ,-16.28 ,-2.87 ,-2 ,5523099 ,7976890 ,-30.76 
2023/10/31,6191,2023/11/9,1875764 ,2089877 ,-10.25 ,-4.68 ,-3 ,19126724 ,20455239 ,-6.49 
2023/10/31,6192,2023/11/10,540604 ,445568 ,21.33 ,-8.50 ,-1 ,5507113 ,5322635 ,3.47 
2023/10/31,6194,2023/11/6,107609 ,103726 ,3.74 ,3.71 ,1 ,1068348 ,1011097 ,5.66 
2023/10/31,6195,2023/11/9,203505 ,197630 ,2.97 ,11.79 ,1 ,1925865 ,1998096 ,-3.61 
2023/10/31,6196,2023/11/6,4591891 ,4627346 ,-0.77 ,-6.59 ,-1 ,45649743 ,40362404 ,13.10 
2023/10/31,6197,2023/11/6,488797 ,370965 ,31.76 ,0.32 ,6 ,3968712 ,3555722 ,11.61 
2023/10/31,6198,2023/11/10,20 ,210 ,-90.48 ,0.00 ,0 ,253443 ,3430 ,7289.01 
2023/10/31,6199,2023/11/9,6786 ,12021 ,-43.55 ,-19.87 ,-1 ,112143 ,99729 ,12.45 
2023/10/31,6201,2023/11/8,267078 ,230159 ,16.04 ,-17.77 ,-2 ,2701185 ,2398727 ,12.61 
2023/10/31,6202,2023/11/8,178971 ,409412 ,-56.29 ,-9.51 ,-4 ,2286811 ,5340070 ,-57.18 
2023/10/31,6203,2023/11/10,210905 ,227250 ,-7.19 ,-30.40 ,-1 ,2832276 ,2071944 ,36.70 
2023/10/31,6204,2023/11/8,31764 ,21760 ,45.97 ,-2.04 ,-3 ,306055 ,327574 ,-6.57 
2023/10/31,6205,2023/11/6,94628 ,170064 ,-44.36 ,12.82 ,2 ,1158278 ,1569321 ,-26.19 
2023/10/31,6206,2023/11/8,350443 ,458268 ,-23.53 ,35.60 ,1 ,2843900 ,5028975 ,-43.45 
2023/10/31,6207,2023/11/9,92303 ,103811 ,-11.09 ,-0.07 ,-3 ,877926 ,1148037 ,-23.53 
2023/10/31,6208,2023/11/9,301951 ,370938 ,-18.60 ,-13.22 ,-2 ,3577613 ,3319164 ,7.79 
2023/10/31,6209,2023/11/8,206625 ,302808 ,-31.76 ,-12.85 ,-2 ,2313415 ,3020264 ,-23.40 
2023/10/31,6210,2023/11/10,26826 ,45176 ,-40.62 ,17.99 ,1 ,270993 ,513583 ,-47.23 
2023/10/31,6212,2023/11/10,473 ,225 ,110.22 ,110.22 ,1 ,370919 ,868983 ,-57.32 
2023/10/31,6213,2023/11/5,2332841 ,2099872 ,11.09 ,0.92 ,5 ,20675758 ,24368382 ,-15.15 
2023/10/31,6214,2023/11/9,2773788 ,2743035 ,1.12 ,-2.30 ,-1 ,27633419 ,26700682 ,3.49 
